split,year,region,num_samples,accuracy
id_val,2002,ALL,221,0.4751131221719457
id_val,2003,ALL,294,0.4965986394557823
id_val,2004,ALL,210,0.5428571428571428
id_val,2005,ALL,305,0.5770491803278689
id_val,2006,ALL,390,0.5923076923076923
id_val,2007,ALL,159,0.5283018867924528
id_val,2008,ALL,286,0.5454545454545454
id_val,2009,ALL,985,0.5614213197969543
id_val,2010,ALL,2459,0.6201708011386743
id_val,2011,ALL,2874,0.6569241475295755
id_val,2012,ALL,3300,0.6406060606060606
id_val,ALL,Asia,2693,0.6249535833642778
id_val,ALL,Europe,5268,0.5975702353834472
id_val,ALL,Africa,190,0.6631578947368421
id_val,ALL,Americas,3076,0.6339401820546163
id_val,ALL,Oceania,251,0.7211155378486056
id_test,2002,ALL,227,0.5066079295154186
id_test,2003,ALL,276,0.5036231884057971
id_test,2004,ALL,240,0.44166666666666665
id_test,2005,ALL,324,0.5154320987654321
id_test,2006,ALL,406,0.5467980295566502
id_test,2007,ALL,190,0.5263157894736842
id_test,2008,ALL,298,0.5805369127516778
id_test,2009,ALL,935,0.5828877005347594
id_test,2010,ALL,2456,0.6115635179153095
id_test,2011,ALL,2837,0.6454000704970039
id_test,2012,ALL,3138,0.6198215423836839
id_test,ALL,Asia,2615,0.5850860420650096
id_test,ALL,Europe,5150,0.5877669902912621
id_test,ALL,Africa,209,0.7081339712918661
id_test,ALL,Americas,3130,0.6319488817891373
id_test,ALL,Oceania,218,0.7339449541284404
val,2013,ALL,3850,0.5953246753246754
val,2014,ALL,6192,0.6222545219638242
val,2015,ALL,9873,0.5795604172997063
val,ALL,Asia,4121,0.5610288764862897
val,ALL,Europe,7732,0.6298499741334713
val,ALL,Africa,803,0.5118306351183064
val,ALL,Americas,6562,0.5810728436452302
val,ALL,Oceania,693,0.6594516594516594
val,2013,Europe,1620,0.6080246913580247
val,2014,Europe,2523,0.6741973840665874
val,2015,Europe,3589,0.6085260518250208
val,2013,Asia,813,0.5559655596555966
val,2014,Asia,1311,0.5736079328756675
val,2015,Asia,1997,0.5548322483725588
val,2013,Americas,1168,0.6070205479452054
val,2014,Americas,1967,0.6034570411794611
val,2015,Americas,3427,0.5593813831339364
test,2016,ALL,15959,0.5558618961087788
test,2017,ALL,6149,0.4825174825174825
test,ALL,Asia,4963,0.5534958694338102
test,ALL,Europe,5858,0.5616251280300444
test,ALL,Africa,2593,0.3278056305437717
test,ALL,Americas,8024,0.567173479561316
test,ALL,Oceania,666,0.5945945945945946
test,2016,Europe,4845,0.5814241486068111
test,2017,Europe,1013,0.46692991115498517
test,2016,Asia,3216,0.5338930348258707
test,2017,Asia,1747,0.589582140812822
test,2016,Americas,6165,0.5774533657745337
test,2017,Americas,1859,0.5330823023130715
