split,cell_type,num_samples,accuracy,group
val,,2462,0.2099918765231519,HEPG2
val,,2464,0.36891233766233766,HUVEC
val,,2464,0.1599025974025974,RPE
val,,2464,0.022727272727272728,U2OS
val,,9854,0.19037954130302415,ALL
test,,7388,0.2231997834325934,HEPG2
test,,17244,0.39636975179772677,HUVEC
test,,7360,0.21440217391304348,RPE
test,,2440,0.08237704918032787,U2OS
test,,34432,0.2980657527881041,ALL
id_test,,8622,0.24947807933194155,HEPG2
id_test,,19671,0.4996187280768644,HUVEC
id_test,,8623,0.24341876377130928,RPE
id_test,,3696,0.16937229437229437,U2OS
id_test,,40612,0.3620604747365311,ALL
