L (Trees),k (Lines),Mean Distance,Std Dev,Mean Time (s),Bias,Rel Bias (%),CV (σ/μ)
10,5,0.5195835113525391,0.05704205019854444,0.0008442401885986328,0.01786894798278804,3.324749505265405,0.10978418089145486
10,10,0.423812261223793,0.04306882382057882,0.0008376836776733398,0.015779247879981972,3.867149805029694,0.1016224110558152
10,50,0.20082662701606752,0.00867278490204158,0.0008482217788696289,0.0024799972772598378,1.2503349719254704,0.0431854332809548
10,100,0.14111697673797607,0.006432209853144122,0.000868678092956543,0.00013557076454162598,0.09616215954547366,0.0455806948379241
50,5,0.5409790247678756,0.028445305846116712,0.0008425235748291016,0.0035265654325484785,0.6561632329136269,0.052581162196301566
50,10,0.40952289700508115,0.010310559820734637,0.00085601806640625,0.0014898836612701194,0.36513801887268726,0.02517700449996257
50,50,0.19625404477119446,0.005219494000344791,0.0010075330734252929,0.00209258496761322,1.0550141287345474,0.02659559962919496
50,100,0.14161272644996642,0.0025976966248136826,0.0008991479873657227,0.0006313204765319713,0.4478040718723808,0.018343666490535947
100,5,0.5356770098209381,0.014080670161464652,0.0008471250534057617,0.0017754495143890159,0.33034540703092735,0.026285746640818928
100,10,0.40724749565124513,0.009746757322936462,0.0008314609527587891,0.0007855176925659069,0.19251326899473817,0.02393325294081931
100,50,0.19815390259027482,0.005281605801244354,0.0009231328964233399,0.00019272714853285633,0.09716683806861183,0.026654058952173112
100,100,0.1417683631181717,0.0012949613658630925,0.0012301921844482422,0.0007869571447372548,0.558199245711554,0.009134346601601595
500,5,0.5391247808933258,0.005674016238449694,0.0008582353591918945,0.0016723215579986794,0.31115711333182033,0.010524495329351936
500,10,0.40873669683933256,0.005456340929097146,0.0008973360061645507,0.0007036834955215232,0.17245749057285112,0.013349280774860157
500,50,0.19678614884614945,0.0013911930339321706,0.002279233932495117,0.001560480892658228,0.7867443448437434,0.007069567863843037
500,100,0.1412732034921646,0.0009871633992863376,0.004307413101196289,0.00029179751873015247,0.20697588927800648,0.006987619554766367
1000,5,0.540307366847992,0.004086640992633316,0.0008889675140380859,0.002854907512664817,0.53119256653798,0.0075635485343716145
1000,10,0.40599824786186217,0.0028610890419101024,0.0012326240539550781,0.0020347654819488636,0.49867667943680777,0.007047047756924227
1000,50,0.1964033290743828,0.0009334858853761605,0.00428156852722168,0.0019433006644248851,0.9797497779437525,0.004752902559114089
1000,100,0.14128818064928056,0.0005762922115265942,0.008167886734008789,0.00030677467584611096,0.21759938747093885,0.0040788423269255865
5000,5,0.5396485805511475,0.0014580227010881897,0.0023337602615356445,0.002196121215820357,0.40861683255414294,0.0027018003078949993
5000,10,0.40770208537578584,0.0022817193844166766,0.004345536231994629,0.0003309279680251964,0.08110323361172606,0.005596535966485376
5000,50,0.19693612307310104,0.00046106422644149106,0.020614767074584962,0.0014105066657066345,0.7111321566512409,0.002341186671326661
5000,100,0.14130717217922212,0.0003002586391959157,0.04120471477508545,0.0003257662057876698,0.23107033409005365,0.0021248648215470116
10000,5,0.539699810743332,0.0015553976073208633,0.004967832565307617,0.002247351408004805,0.41814887418770535,0.002881968042898893
10000,10,0.4069091141223907,0.00072297607858607,0.008815407752990723,0.0011238992214203103,0.27544320794290883,0.0017767507620107328
10000,50,0.19683534651994705,0.00046816151329595964,0.04210717678070068,0.0015112832188606262,0.7619404578997668,0.0023784422949082304
10000,100,0.14119294732809068,0.00032276359261058175,0.0826869249343872,0.00021154135465623058,0.1500491168999208,0.002285975317595535
20000,5,0.5399037063121795,0.0008815609704946996,0.008916282653808593,0.002451246976852395,0.4560862889870997,0.001632811481358806
20000,10,0.4067587196826935,0.0009777816883795446,0.016960453987121583,0.0012742936611175315,0.3123016078220622,0.0024038370686737774
20000,50,0.19677618741989136,0.0002840615520280413,0.08286755084991455,0.0015704423189163152,0.7917665760110715,0.0014435768664523205
20000,100,0.14113560318946838,0.0001396826162974053,0.166243577003479,0.00015419721603393555,0.10937415112954073,0.0009897050293531356
